Date,Time,Temperature (Â°F),Humidity (%),Wind Speed (mph),Weather Description
02/23/2025,00:00:00,39.56,43,3.49,Clear sky
02/23/2025,03:00:00,37.35,51,4.29,Scattered clouds
02/23/2025,06:00:00,34.05,61,3.44,Broken clouds
02/23/2025,09:00:00,32.09,57,4.56,Clear sky
02/23/2025,12:00:00,32.45,57,6.96,Clear sky
02/23/2025,15:00:00,38.52,44,9.1,Few clouds
02/23/2025,18:00:00,45.0,31,6.71,Few clouds
02/23/2025,21:00:00,47.08,33,4.56,Clear sky
02/24/2025,00:00:00,40.69,48,2.55,Clear sky
02/24/2025,03:00:00,37.99,56,0.56,Overcast clouds
02/24/2025,06:00:00,36.5,60,1.16,Overcast clouds
02/24/2025,09:00:00,34.54,66,2.86,Broken clouds
02/24/2025,12:00:00,32.94,71,2.75,Scattered clouds
02/24/2025,15:00:00,42.03,57,4.16,Clear sky
02/24/2025,18:00:00,50.83,42,7.4,Clear sky
02/24/2025,21:00:00,53.91,43,8.59,Broken clouds
02/25/2025,00:00:00,47.48,65,6.91,Broken clouds
02/25/2025,03:00:00,45.66,75,8.46,Broken clouds
02/25/2025,06:00:00,43.36,81,6.22,Overcast clouds
02/25/2025,09:00:00,39.78,90,3.44,Broken clouds
02/25/2025,12:00:00,38.3,92,2.93,Scattered clouds
02/25/2025,15:00:00,49.23,58,3.4,Scattered clouds
02/25/2025,18:00:00,57.47,40,3.02,Broken clouds
02/25/2025,21:00:00,59.31,42,4.76,Scattered clouds
02/26/2025,00:00:00,52.23,64,5.26,Scattered clouds
02/26/2025,03:00:00,50.65,71,3.67,Broken clouds
02/26/2025,06:00:00,45.88,80,3.18,Broken clouds
02/26/2025,09:00:00,46.69,78,3.69,Overcast clouds
02/26/2025,12:00:00,44.69,81,6.11,Broken clouds
02/26/2025,15:00:00,50.97,59,5.99,Few clouds
02/26/2025,18:00:00,56.79,43,2.15,Scattered clouds
02/26/2025,21:00:00,58.37,41,5.84,Overcast clouds
02/27/2025,00:00:00,53.74,57,5.86,Overcast clouds
02/27/2025,03:00:00,50.31,75,9.62,Overcast clouds
02/27/2025,06:00:00,48.94,81,9.46,Overcast clouds
02/27/2025,09:00:00,50.0,79,10.56,Overcast clouds
02/27/2025,12:00:00,51.28,79,10.07,Overcast clouds
02/27/2025,15:00:00,50.86,89,8.7,Light rain
02/27/2025,18:00:00,56.23,73,10.38,Light rain
02/27/2025,21:00:00,53.64,55,12.71,Light rain
